Nama Event,Lokasi,Kategori,Tanggal Mulai,Tanggal Selesai,Deskripsi,URL Detail
Festival Budaya Sekala Bekhak,Lampung Barat | Lampung,Event Budaya,18 Juni 2026,20 Juni 2026, Festival Budaya Sekala Bekhak 2023 ini menetapkan icon tetap festival ini “SEKura the mask of Nation’s” Festival ini juga menyajikan paket-paket wisata untuk mengunjungi keindahan Lampung Barat yang puncak perjalanannya.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-budaya-sekala-bekhak
Festival Gurita,Kaur | Bengkulu,Event Kuliner,21 Juni 2026,23 Juni 2026, Festival Gurita adalah event tahunan yang selalu ditunggu-tunggu di Kabupaten Kaur. Gurita merupakan salah satu komoditi ikonik sumber pendapatan nelayan tradisional. Event ini pernah memecahahkan rekor MURI 2022 untuk Sate Gurita terbaik.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-gurita-2
East Java Fashion Harmony,Tulungagung | Jawa Timur,Event Karnaval,22 Juni 2026,22 Juni 2026," Wastra merupakakan peninggalan kebudayaan Indonesia yang telah dikenal, diakui oleh dunia, dan patut dilestarikan.",https://eventdaerah.kemenparekraf.go.id/detail-event/east-java-fashion-harmony-2
Tubaba Art Festival,Tulang Bawang Barat | Lampung,Event Seni,24 Juni 2026,26 Juni 2026, Tubaba Art Festival (TAF) adalah festival berbasis kreativitas warga Tubaba yang diselenggarakan setiap tahun. Festival ini merupakakan media presentasi akhir kelas-kelas kesenian bagi bagi warga (kemudian dikenal sebagai Sekolah Tubaba),https://eventdaerah.kemenparekraf.go.id/detail-event/tubaba-art-festival-3
Festival Tabut,Bengkulu | Bengkulu,Event Budaya,27 Juni 2026,06 Juli 2026, Festival Tabut merupakakan event budaya ikonik Provinsi Bengkulu yang menampikan tradisional kemeriahan perayaan tahun barus Islam dengan karnaval bangunan tabut. Puncaknya adalah pada hari ke-10 yaitu arakan/karnaval tabut tebuang.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-tabut-3
Wolobobo Ngada Festival,Ngada | Nusa Tenggara Timur,Event Budaya,28 Juni 2026,30 Juni 2026," Wolobobo Ngada Festival (WNF) 2023 mengusung tema ‘Kopi, Tenun, Bambu’ Tema ini dipilih untuk menampilkan kekayaan alam dan budaya Ngada. Tenun Ngada yang khas dan berkarakter kuat kini kian meroket.",https://eventdaerah.kemenparekraf.go.id/detail-event/wolobobo-ngada-festival
Festival Nasional Reog Ponorogo,Ponorogo | Jawa Timur,Event Budaya,28 Juni 2026,07 Juli 2026, Festival Nasional Reog Ponorgo (FNRP) merupakakan sebuah festival budaya yang mengangkat ikon Kabupaten Ponorogo yang telah dikenal luas oleh masyarakat. Penyelenggaraan FNRP tahun ini diharapkan dapat menggerakan peningkatan perekonomian.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-nasional-reog-ponorogo-2
MADA Fest,Bangka | Kepulauan Bangka Belitung,Event Karnaval,29 Juni 2026,30 Juni 2026," Matras Adat Budaya Festival atau MADA Fest merupakakan event yang diselenggarakan oleh komunitas kreatif, Rumah Kreatif Matras (RUKEM), berkolaborasi dengan pemerintah daerah dalam rangka pengembangan pariwisata sekaligus pelestarian adat dan seni.",https://eventdaerah.kemenparekraf.go.id/detail-event/mada-fest-2
Festival Bunga dan Buah Karo,Karo | Sumatera Utara,Event Karnaval,03 Juli 2026,05 Juli 2026," Festival Bunga dan Buah Karo adalah perayaan spektakuler yang menonjolkan kekayaan alam dan budaya Kabupaten Karo, Sumatera Utara. Festival ini merayakan hasil pertanian lokal, terutama bunga dan buah-buahan, sambil menggali aspek budaya dan tradisi.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-bunga-dan-buah-karo-2
Festival Rontek Pacitan,Pacitan | Jawa Timur,Event Budaya,04 Juli 2026,06 Juli 2026," Festival Ronthek Pacitan 2024 akan digelar bersamaan dengan Gelar Produk Ekraf dan UMKM secara massal yang akan memamerkan berbagai macam produk. Festival tahun ini akan dibuka untuk umum, bukan lagi hanya perwakilan desa, atau kecamatan.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-ronthek-pacitan
Festival Batanghari,Jambi | Jambi,Event Budaya,05 Juli 2026,08 Juli 2026, Keberadaan sungai yang berada dan membelah pusat kota ini menjadi salah satu destinasi wisata yang ramai dikunjungi terutam.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-batanghari-2
Festival Krakatau,Lampung Selatan | Lampung,Event Budaya,05 Juli 2026,06 Juli 2026, Festival Krakatau adalah sebuah event atraksi kepariwisataan yang menampilkan keragaman penampilan kebudayaan asli masyarakat Lampung yang biasanya di jumpai dalam acara adat tertentu dalam menyambut idul fitri 1 syawal.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-krakatau-2
Festival Krakatau,Bandar Lampung | Lampung,Event Budaya,05 Juli 2026,07 Juli 2026, K-Fest (Festival Krakatau) Tahun 2024 mengangkat tema ‘Nemui Nyimah’ yang merupakakan salah satu nilai falsafah hidup yang sudah tertanam dalam kehidupan Masyarakat Adat Lampung.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-krakatau
Banyuwangi Ethno Carnival,Banyuwangi | Jawa Timur,Event Karnaval,08 Juli 2026,08 Juli 2026," Banyuwangi Ethno Carnival adalah sebuah karnaval berupa festival busana yang setiap tahun digelar dalam rangkaian. BEC adalah dari Taman Blambangan, Jawa Timur, Indonesia.",https://eventdaerah.kemenparekraf.go.id/detail-event/banyuwangi-ethno-carnival
Payakumbuh Botuang Festival,Payakumbuh | Sumatera Barat,Event Budaya,11 Juli 2026,13 Juli 2026," Payakumbuh Botuang Festival (PBF) ini akan menggelar beragam kegiatan mulai dari pameran instalasi botuang. Festival ini mengangkat nilai budaya melalui marandang robuang, yakni prosesi memasak rendang dengan tunas bambu.",https://eventdaerah.kemenparekraf.go.id/detail-event/payakumbuh-botuang-festival-2
Manakarra Fair,Mamuju | Sulawesi Barat,Event Budaya,12 Juli 2026,14 Juli 2026," Manakarra Fair adalah event berbasis komunitas yang dikolaborasikan dengan program Pemerintah Daerah dan swasta. Event ini akan menjadi ruang ekspresi, promosi kom unitas lokal Mamuju, dapat diapresiasi oleh para pengunjung.",https://eventdaerah.kemenparekraf.go.id/detail-event/manakarra-fair-2
Timika Inside Festival of Art,Mimika | Papua Tengah,Event Seni,18 Juli 2026,20 Juli 2026, Timika Inside Festival of Art (TIFA) hadir sebagai ruang bagi pelaku seni di Tanah Papua. TIFA 2024 akan menjadi pengalaman baru untuk semua pengunjung.,https://eventdaerah.kemenparekraf.go.id/detail-event/timika-inside-festival-art-2
Samosir Music International,Samosir | Sumatera Utara,Event Musik,18 Juli 2026,20 Juli 2026," Samosir Music International (SMI) adalah sebuah festival musik yang merayakan kekayaan budaya dan musik dari Tanah Batak, Sumatra Utara. Festival ini memberikan dampak positif bagi semua yang terlibat, dan kami mengundang Anda untuk menjadi bagian dari perjalanan musik",https://eventdaerah.kemenparekraf.go.id/detail-event/samosir-music-international-2
Keroncong Plesiran,Bantul | Daerah Istimewa Yogyakarta,Event Musik,20 Juli 2026,20 Juli 2026, Keroncong Plesiran adalah pertunjukan musik keroncong yang menonjolkan kebebasan berekspresi dan improvisasi. Penonton diajak untuk menyaksikan musik  yang kedelapan kali sejak tahun 2018.,https://eventdaerah.kemenparekraf.go.id/detail-event/keroncong-plesiran-2
Eksotika Bromo,Probolinggo | Jawa Timur,Event Budaya,27 Juli 2026,28 Juli 2026, Eksotika Bromo merupakakan festival dan pesta budaya yang digelar di Lautan Pasir Bromo sebagai puncak kesenian yang dipadukan dengan keindahan alam Jawa Timur.,https://eventdaerah.kemenparekraf.go.id/detail-event/eksotika-bromo-2
Toraja International Festival,Toraja Utara | Sulawesi Selatan,Event Budaya,28 Juli 2026,30 Juli 2026, Toraja International Festival (TIF) adalah sebuah festival world music & dance yang bertujuan mengangkat Toraja. TIF yang ke sepuluh di tahun 2023 ini. Festival ini akan diawali oleh berbagai bentuk musik & dance dari daerah Nusantara & Mancanegara.,https://eventdaerah.kemenparekraf.go.id/detail-event/toraja-international-festival
Jember Fashion Carnaval,Jember | Jawa Timur,Event Karnaval,01 Agustus 2026,04 Agustus 2026," Jember Fashion Carnaval akan disuguhkan di jalan sepanjang 3,6 km, dengan melibatkan busana-busana atau fashion yang terinspirasi dari budaya nusantara. Pada tahun 2024, JFC mengangkat tema ‘Algorithm’ dengan filosofi perjalanan yang harus dilalui.",https://eventdaerah.kemenparekraf.go.id/detail-event/jember-fashion-carnaval-2
Keroncong Plesiran,Sleman | Daerah Istimewa Yogyakarta,Event Musik,05 Agustus 2026,05 Agustus 2026, Keroncong Plesiran merupakan musik keroncong yang mengandalkan kebebasan berekspresi dan berimprovisasi. Festival keroncon muda ini menghadirkan grup musik asli dari berbagai kota di Yogyakarta.,https://eventdaerah.kemenparekraf.go.id/detail-event/keroncong-plesiran
Tanjungpinang Fest,Tanjung Pinang | Kepulauan Riau,Event Budaya,05 Agustus 2026,11 Agustus 2026, Tanjungpinang Fest merupakakan event yang mengangkat beragam budaya dan kesenian dari berbagai sanggar. Festival ini akan kembali berkolaborasi dengan Festival Kopi Merdeka dan Gebyar Melayu Pesisir.,https://eventdaerah.kemenparekraf.go.id/detail-event/tanjungpinang-fest-2
Festival Budaya Lembah Baliem,Jayawijaya | Papua,Event Budaya,07 Agustus 2026,10 Agustus 2026," Festival Budaya Lembah Baliem tahun 2023 yang ke- 31 mengangkat tema,“Merangkai Hati, Merajut Kasih Lestarikan Budayamu, Itulah Jati Dirimu“, menampilkan teatrikal sejarah perjalanan Suku Hubula di masa lalu.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-budaya-lembah-baliem
Festival Babukung,Lamandau | Kalimantan Tengah,Event Budaya,07 Agustus 2026,09 Agustus 2026," Di Kalimantan Tengah, misalnya, terdapat tari tradisional yang bernama Babukung di Kabupaten Lamandau. Masyarakat Dayak Tomun menyerahkan bantuan berupa hasil bumi seraya menari menggunakan topeng.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-babukung
Festival Budaya Lembah Baliem,Jayawijaya | Papua Pegunungan,Event Budaya,07 Agustus 2026,10 Agustus 2026, Festival Budaya Lembah Baliem ke-32 pada tahun 2024 merupakakan ajang atraksi budaya yang bertujuan mempromosikan Wamena. Festival ini akan menampilkan jejak peradaban nenek moyang suku Hubula.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-budaya-lembah-baliem-2
Tomohon International Flower Festival,Tomohon | Sulawesi Utara,Event Karnaval,08 Agustus 2026,12 Agustus 2026," Festival Bunga Internasional Tomohon (TIFF) merupakakan komitmen Pemerintah Kota Tomoh on dalam mengembangkan pariwisata, pendidikan, jasa perdagangan, industri parekraf, dan kebudayaan.",https://eventdaerah.kemenparekraf.go.id/detail-event/tomohon-international-flower-festival
Kenduri Riau,Pekanbaru | Riau,Event Budaya,17 Agustus 2026,20 Agustus 2026, Kenduri Riau Tahun 2023 kembali dihantarkan. Rangkaian festival diikat dalam satu tema besar bertajuk HELA MUara.,https://eventdaerah.kemenparekraf.go.id/detail-event/kenduri-riau
Aceh Perkusi,Lhokseumawe | Aceh,Event Musik,22 Agustus 2026,24 Agustus 2026," Aceh Perkusi 2025 bertujuan untuk menjaga kelestarian tradisi musik perkusi Aceh. Event ini menjadi platform untuk edukasi, kreativitas, dan pertukaran budaya, mendorong kolaborasi lintas daerah dan negara.",https://eventdaerah.kemenparekraf.go.id/detail-event/aceh-perkusi-2
Dieng Culture Festival,Banjarnegara | Jawa Tengah,Event Budaya,23 Agustus 2026,25 Agustus 2026," Dieng Culture Festival akan berlangsung di Kompleks Candi Arjuna, sebuah ikon peninggalan budaya benda berupa candi yang telah dikolaborasikan dengan budaya non-benda ritual masyarakat. Festival Dieng akan diselenggarakan untuk mengembangkan potensi desa.",https://eventdaerah.kemenparekraf.go.id/detail-event/dieng-culture-festival-2
Jelajah Pesona Jalur Rempah,Belitung Timur | Kepulauan Bangka Belitung,Event Budaya,02 September 2026,06 September 2026," Jelajah Pesona Jalur Rempah (JPJR) Belitung Timur adalah sebuah event pariwisata bertajuk pelindungan, pengembangan, pemanfaatan, dan pembinaan kebudayaan sebagai roh di dalamnya.",https://eventdaerah.kemenparekraf.go.id/detail-event/jelajah-pesona-jalur-rempah
Festival Kota Lama,Semarang | Jawa Tengah,Event Budaya,05 September 2026,15 September 2026, Festival Kota Lama (FKL) merupakan penyelenggaraan yang ke-13. Tema kali ini adalah ‘Heritage in Diversity’ yang mengangkat keberagaman budaya Kota Semarang.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-kota-lama-2
Sawahlunto International Songket Silungkang Carnival,Sawahlunto | Sumatera Barat,Event Karnaval,06 September 2026,08 September 2026," Sawahlunto International Songket Silungkang Carnival (SISSCa) merupkan event yang terlahir dari proses aktualisasi budaya lokal. Hal ini termasuk keunikan pada aktivitas 5M (Mancolok, Manuriang, Mahani, Maharok, dan Mananun).",https://eventdaerah.kemenparekraf.go.id/detail-event/sawahlunto-international-songket-silungkang-carnival-2
Wakatobi Wave,Wakatobi | Sulawesi Tenggara,Event Budaya,10 September 2026,14 September 2026," Wakatobi Wave merupakakan perhelatan tahunan yang telah dilaksanakan. Event ini akan menjadi ruang kreasi, ekspresi, dan kompetisi bagi para pelaku seni.",https://eventdaerah.kemenparekraf.go.id/detail-event/wakatobi-wave-2
Rang Solok Baralek Gadang,Solok | Sumatera Barat,Event Budaya,16 September 2026,18 September 2026, Beras sebagai komoditi unggulan Kota Solok memegang peranan penting di dalam perekonomian masyarakat. Melalui event Rang Solok Baralek Gadang mengambil tempat di areal persawahan yang berada tepat di jantung kota.,https://eventdaerah.kemenparekraf.go.id/detail-event/rang-solok-baralek-gadang
Numbay Creative Festival,Jayapura | Papua,Event Seni,20 September 2026,22 September 2026," Numbay Creative Festival (NCF) akan kembali  diselenggarakan dengan mengangkat tema “Hen Tecahi, Jewi T’mohat” (Satu Hati, Berkolaborasi) The festival akan dimeriahkan oleh Numbays Creative Show, NumbAY Creative Expo, and ‘Goes to School’",https://eventdaerah.kemenparekraf.go.id/detail-event/numbay-creative-festival-2
Balikpapan Fest,Balikpapan | Kalimantan Timur,Event Budaya,25 September 2026,28 September 2026, Balikpapan Fest ke 6 sudah menjadi daya tarik wisatawan dengan day akan. Daya menampilkan kearifan lokal dengan konsep berbeda kolaborasi modern.,https://eventdaerah.kemenparekraf.go.id/detail-event/balikpapan-fest-3
Musik Alam Fest,Bulungan | Kalimantan Utara,Event Musik,27 September 2026,28 September 2026," Musik Alam Fest adalah sebuah event yang berangkat dari semangat kalangan muda dan komunitas. Event ini dilaksanakan untuk merangsang minat masyarakat, khususnya muda untuk turut serta membangun kepedulian antar sesama.",https://eventdaerah.kemenparekraf.go.id/detail-event/musik-alam-fest-2
Festival Pesona Selat Lembeh,Bitung | Sulawesi Utara,Event Budaya,04 Oktober 2026,10 Oktober 2026, Festival Pesona Selat Lembeh 2023 akan membawa pengalaman bagi pengunjung yang datang untuk mengeksplorasi. Event ini diharapkan dapat menggerakkan perekonomian bagi pelaku pariwisata di Kota Bitung.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-pesona-selat-lembeh
Iraw Tengkayu,Tarakan | Kalimantan Utara,Event Budaya,05 Oktober 2026,06 Oktober 2026, Warisan ini berasal dari bahasa Tidung yang merupakakan gabungan dari kata Iraw (perayaan atau pesta) dan Tengkayu (wilayah air asin atau daerah pesisir pantai) Warisan adat suku Tidung ditampilkan sebagai atraksi budaya.,https://eventdaerah.kemenparekraf.go.id/detail-event/iraw-tengkayu-2
Wayang Jogja Night Carnival,Yogyakarta | Daerah Istimewa Yogyakarta,Event Karnaval,07 Oktober 2026,07 Oktober 2026, Wayang Jogja Night Carnival (WJNC) adalah event pariwisata unggulan Kota Yogyakarta yang sudah terdaftar dalam Kharisma Event Nusantara (KEN) 2022. WJNC diadakan untuk memperingati Hari Ulang Tahun Kota yang jatuh pada tanggal 7 Oktober,https://eventdaerah.kemenparekraf.go.id/detail-event/wayang-jogja-night-carnival
Festival Asmat Pokman,Asmat | Papua,Event Budaya,07 Oktober 2026,11 Oktober 2026," Festival Asmat Pokman merupakan event untuk mengekspresikan hasil karya, budaya dan jati diri Suku Asmat dan suku-suku lokal di wilayah Kabupaten Asmat. Event ini akan merasakan pengalaman rasa di acara pangkur sagu.",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-asmat-pokman
Festival Asmat Pokman,Asmat | Papua Selatan,Event Budaya,07 Oktober 2026,11 Oktober 2026, Festival Asmat Pokman ini terus menguatkan kearifan lokal dan budaya di wilayah Kabupaten Asmat sejak tahun 1981. FAP menjadi momen bagi para seniman dan seniwati Kabupatan Asmat untuk mempresentasikan dan mempromosikan talenta.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-asmat-pokman-2
Festival Danau Poso,Poso | Sulawesi Tengah,Event Budaya,10 Oktober 2026,13 Oktober 2026, Festival Danau Poso ( FDP ) merupakakan festival yang pertama kali dilaksanakan di Propinsi Sulawesi Tengah sejak Tahun 1989. Event yang ditampilkan pada FDP ke – 23 tahun 2023 lebih difokuskan pada tradisi masyarakat.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-danau-poso
Festival Pesona Raja Ampat,Raja Ampat | Papua Barat Daya,Event Budaya,18 Oktober 2026,20 Oktober 2026," Festival Pesona Raja Ampat akan digelar selama empat hari, dengan tema ""Keseimbangan Alam dan Budaya yang Terjaga""",https://eventdaerah.kemenparekraf.go.id/detail-event/festival-pesona-raja-ampat-2
Festival Pesona Raja Ampat,Raja Ampat | Papua Barat,Event Budaya,18 Oktober 2026,21 Oktober 2026, Kepulauan Raja Ampat merupakakan jantung segitiga karang dunia 'Heart of Coral Triangles' sudah diakui sebagai salah satu kawasan yang memiliki terumbu karaik di dunia.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-pesona-raja-ampat
East Java Fashion Harmony,Mojokerto | Jawa Timur,Event Seni,03 November 2026,03 November 2026, East Java Fashion Harmony adalah sebuah event fashion berbasis budaya wastra Jawa Timur. Event ini merupakakan kemasan event yang juga berbais destinasi wisata Jawa timur sebagai tempat pelaksanaanya.,https://eventdaerah.kemenparekraf.go.id/detail-event/east-java-fashion-harmony
Festival Tanjung Waka,Kepulauan Sula | Maluku Utara,Event Budaya,04 November 2026,07 November 2026, Festival Tanjung Waka 2023 adalah refleksi kehidupan masyarakat lokal di Kepulauan Sula yang sesungguhnya. FTW 2023 mengedepankan tingkat partisipasi masyarkat setempat dengan konsep ‘green event’.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-tanjung-waka
Festival Perang Topat,Lombok Barat | Nusa Tenggara Barat,Event Budaya,16 November 2026,16 November 2026, Perang Topat merupakan Warisan Budaya Tak Benda (WBTB) yang diakui secara nasional pada tahun 2020. Event ini menggambarkan kerukunan warga yang memeluk agama Islam dan Hindu.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-perang-topat-2
Festival Tumbe,Banggai Laut | Sulawesi Tengah,Event Budaya,01 Desember 2026,04 Desember 2026, Festival Tumbe 2023 adalah gelaran kegiatan Upacara Ritual. Malabot tumbe yang merupakakan prosesi adat penjemputan telur Burung Maleo.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-tumbe
Festival Pesona Minangkabau,Tanah Datar | Sumatera Barat,Event Budaya,05 Desember 2026,08 Desember 2026, Festival Pesona Minangkabau (FPM) merupakakan pergelaran event yang diselenggarakan. Event ini akan berlangsung di Istano Basa Pagaruyung.,https://eventdaerah.kemenparekraf.go.id/detail-event/festival-pesona-minangkabau-2
